Source, Target, Label
padova capolinea sud, padova guizza, Tram
padova guizza, padova cuoco, Tram
padova cuoco, padova sacchetti, Tram
padova sacchetti, padova bassanello, Tram
padova bassanello, padova cavallotti, Tram
padova cavallotti, padova santa croce, Tram
padova santa croce, padova diaz, Tram
padova diaz, padova cavalletto, Tram
padova cavalletto, padova prato della valle, Tram
padova prato della valle, padova santo, Tram
padova santo, padova tito livio, Tram
padova tito livio, padova ponti romani, Tram
padova ponti romani, padova eremitani, Tram
padova eremitani, padova trieste, Tram
padova trieste, padova stazione fs, Tram
padova stazione fs, padova borgomagno, Tram
padova borgomagno, padova arcella, Tram
padova arcella, padova palasport, Tram
padova palasport, padova san gregorio, Tram
padova san gregorio, padova pontevigodarzere, Tram
padova via orlandini, padova via rismondo, Linea 3
padova via rismondo, padova fiera, Linea 3
padova fiera, padova tribunale, Linea 3
padova tribunale, padova ferrovia, Linea 3
padova ferrovia, padova corso del popolo, Linea 3
padova corso del popolo, padova corso garibaldi, Linea 3
padova corso garibaldi, padova riv ponti romani, Linea 3
padova riv ponti romani, padova riv tito livio, Linea 3
padova riv tito livio, padova riv businello, Linea 3
padova riv businello, padova prato della valle, Linea 3
padova prato della valle, padova via cavazzana, Linea 3
padova via cavazzana, padova via acquapendente, Linea 3
padova via acquapendente, padova ponte 4 martiri, Linea 3
padova ponte 4 martiri, padova salboro, Linea 3
padova salboro, padova pozzoveggiani, Linea 3
padova pozzoveggiani, padova san giacomo, Linea 3
padova san giacomo, padova lion di albignasego, Linea 3
padova cadoneghe o bragni, padova castagnara, Linea 4
padova castagnara, padova str. pontevigodarzere, Linea 4
padova str. pontevigodarzere, padova capolinea nord, Linea 4
padova stazione fs, padova corso del popolo, Linea 5
padova corso del popolo, padova corso garibaldi, Linea 5
padova corso garibaldi, padova riv ponti romani, Linea 5
padova riv ponti romani, padova riv tito livio, Linea 5
padova riv tito livio, padova prato della valle, Linea 5
padova prato della valle, padova via cavalletto, Linea 5
padova via cavalletto, padova via torino, Linea 5
padova via torino, padova via siracusa, Linea 5
